2.3421,1.5331,0.39416,
2.3406,1.5378,0.38829,
2.3368,1.5397,0.38863,
2.3979,1.5081,0.32762,
2.4059,1.5055,0.3214,
2.4143,1.5046,0.31487,
2.4434,1.4976,0.29964,
2.4511,1.4962,0.29859,
2.4768,1.4857,0.27944,
2.4853,1.4839,0.27731,
2.4888,1.4861,0.28215,
2.4963,1.4883,0.28002,
2.5252,1.4834,0.28187,
2.5447,1.4757,0.28012,
2.5466,1.4789,0.2846,
2.555,1.4773,0.28604,
2.561,1.4775,0.28718,
2.5697,1.4715,0.29002,
2.5816,1.4679,0.29152,
2.5837,1.4714,0.29064,
2.5937,1.4694,0.28877,
2.5987,1.4681,0.29306,
2.4609,1.5592,0.4037,
2.4583,1.5639,0.40996,
2.4534,1.5707,0.42017,
2.455,1.5784,0.42923,
2.4583,1.5822,0.43446,
2.4543,1.5927,0.44494,
2.4584,1.598,0.44978,
2.4701,1.5979,0.44607,
2.4733,1.6021,0.44975,
2.4737,1.6073,0.45233,
2.4793,1.6111,0.45646,
2.4879,1.6203,0.46223,
2.4898,1.6251,0.46279,
2.4935,1.6293,0.46525,
2.5046,1.6405,0.47091,
2.5079,1.6448,0.46966,
2.5145,1.6518,0.47148,
2.5183,1.6575,0.47314,
2.5237,1.6626,0.47305,
2.5294,1.6696,0.47415,
2.5338,1.6761,0.47388,
2.5349,1.6837,0.47529,
2.5423,1.69,0.47294,
2.5456,1.6971,0.47268,
2.5488,1.7036,0.47117,
2.5491,1.7118,0.46995,
2.5526,1.7178,0.46956,
2.5543,1.7256,0.46685,
2.5561,1.7302,0.4663,
2.5735,1.7505,0.45403,
2.5729,1.7574,0.4497,
2.5728,1.7624,0.44868,
2.5723,1.7701,0.44606,
2.5742,1.7788,0.44503,
2.5701,1.7937,0.44197,
2.5704,1.799,0.44172,
2.5644,1.8079,0.43908,
2.565,1.8157,0.4378,
2.5568,1.8231,0.43581,
2.553,1.8305,0.43399,
2.5486,1.8372,0.43219,
